S,I,R
750,250,0
493,482,25
233,690,77
81,765,154
22,740,238
13,678,309
5,615,380
3,536,461
2,490,508
2,441,557
2,394,604
2,352,646
1,324,675
1,298,701
1,263,736
1,235,764
1,215,784
1,183,816
1,169,830
1,148,851
1,134,865
1,122,877
1,110,889
1,101,898
1,89,910
1,78,921
1,66,933
1,61,938
1,53,946
1,45,954
1,41,958
1,38,961
1,35,964
1,34,965
1,28,971
1,27,972
1,24,975
1,19,980
1,18,981
1,17,982
1,16,983
1,14,985
1,12,987
1,12,987
1,9,990
1,9,990
1,8,991
1,8,991
1,8,991
1,8,991
1,8,991
1,7,992
1,5,994
1,5,994
1,5,994
1,5,994
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,3,996
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,1,998
1,0,999
1,0,999
1,0,999
1,0,999
1,0,999
